Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
132,Andrea Colpani,it ITA,MF,Monza,24,1999,29.5,1,0,0,24,45,2,109,12,15,,,0,Matches
133,Pietro Comuzzo,it ITA,DF,Fiorentina,18,2005,0.5,1,0,0,1,0,0,0,1,1,,,0,Matches
134,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,1,0,0,0,3,0,0,0,0,,,0,Matches
135,Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
136,Diego Coppola,it ITA,DF,Hellas Verona,19,2003,18.2,9,0,0,32,4,0,0,28,22,,,0,Matches
137,Tommaso Corazza,it ITA,DF,Bologna,19,2004,2.2,1,0,0,1,3,0,8,5,4,,,0,Matches
138,Jeppe Corfitzen,dk DEN,FW,Lecce,18,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
139,Giacomo Corona,it ITA,FW,Empoli,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
140,João Costa,br BRA,FW,Roma,18,2005,0.2,1,0,0,2,0,0,1,0,0,,,0,Matches
141,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13.0,0,0,0,0,1,0,1,0,1,,,0,Matches
142,Lassana Coulibaly,ml MLI,MF,Salernitana,27,1996,23.1,5,0,0,33,36,1,9,17,33,,,0,Matches
143,Mamadou Coulibaly,sn SEN,MF,Salernitana,24,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
144,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
145,Bryan Cristante,it ITA,MF,Roma,28,1995,36.5,8,0,0,77,16,4,28,23,41,,,0,Matches
146,Juan Cruz,ar ARG,FW,Hellas Verona,24,1999,1.2,0,0,0,1,0,0,1,1,2,,,0,Matches
147,Juan Cuadrado,co COL,"DF,FW",Inter,35,1988,3.0,1,0,0,4,6,1,18,1,3,,,0,Matches
148,Marvin Cuni,al ALB,FW,Frosinone,22,2001,5.9,0,0,0,13,12,3,4,1,3,,,0,Matches
149,Danilo D'Ambrosio,it ITA,DF,Monza,34,1988,17.1,5,1,1,18,13,1,7,15,34,,,0,Matches
150,Flavius Daniliuc,at AUT,DF,Salernitana,22,2001,8.3,2,0,0,14,4,0,1,8,11,,,0,Matches
151,Danilo,br BRA,DF,Juventus,32,1991,27.2,7,0,0,26,14,1,18,36,35,,,0,Matches
152,Matteo Darmian,it ITA,"MF,DF",Inter,33,1989,26.7,2,0,0,27,10,1,22,15,24,,,0,Matches
153,Juan David Cabal,co COL,DF,Hellas Verona,22,2001,16.6,6,0,0,27,16,1,33,28,29,,,0,Matches
154,Keinan Davis,eng ENG,FW,Udinese,25,1998,2.1,2,0,0,5,3,3,0,0,0,,,0,Matches
155,Paweł Dawidowicz,pl POL,DF,Hellas Verona,28,1995,23.8,5,0,0,33,9,0,2,22,30,,,1,Matches
156,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,22,2001,22.5,1,0,0,17,47,6,47,6,21,,,1,Matches
157,Mattia De Sciglio,it ITA,DF,Juventus,30,1992,0.5,0,0,0,0,1,0,0,1,0,,,0,Matches
158,Lorenzo De Silvestri,it ITA,DF,Bologna,35,1988,7.5,0,0,0,3,6,0,9,6,9,,,0,Matches
159,Koni De Winter,be BEL,DF,Genoa,21,2002,26.4,8,1,1,38,11,0,5,23,25,,,0,Matches
160,Grégoire Defrel,mq MTQ,"MF,FW",Sassuolo,32,1991,8.4,0,0,0,9,8,1,2,4,7,,,0,Matches
161,Alessandro Deiola,it ITA,MF,Cagliari,27,1995,17.9,7,0,0,24,17,0,15,10,21,,,1,Matches
162,Alessandro Dellavalle,it ITA,DF,Torino,19,2004,0.2,0,0,0,0,1,0,0,1,0,,,0,Matches
163,Diego Demme,de GER,MF,Napoli,31,1991,0.8,1,0,0,1,2,0,3,0,1,,,0,Matches
164,Leander Dendoncker,be BEL,"DF,MF",Napoli,28,1995,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches
165,Mattia Destro,it ITA,FW,Empoli,32,1991,4.1,2,0,0,6,8,4,0,3,1,,,0,Matches
166,Federico Di Francesco,it ITA,"FW,MF",Lecce,29,1994,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
167,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
168,Michele Di Gregorio,it ITA,GK,Monza,26,1997,31.9,0,0,0,0,4,0,0,2,0,,,0,Matches
169,Giovanni Di Lorenzo,it ITA,DF,Napoli,29,1993,35.9,6,0,0,28,37,5,125,22,36,,,0,Matches
