Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
243,Pape Gueye,sn SEN,"MF,FW",Villarreal,25,1999,34,26,2224,24.7,4,0,4,4,0,0,6,2,0.16,0.00,0.16,0.16,0.16,Matches
246,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,28,14,1250,13.9,3,4,7,3,0,0,1,0,0.22,0.29,0.50,0.22,0.50,Matches
248,Jon Guridi,es ESP,MF,Alavés,29,1995,33,27,2080,23.1,3,1,4,2,1,1,6,0,0.13,0.04,0.17,0.09,0.13,Matches
249,Gorka Guruzeta,es ESP,FW,Athletic Club,27,1996,36,21,1840,20.4,7,2,9,7,0,0,2,0,0.34,0.10,0.44,0.34,0.44,Matches
250,Miguel Gutiérrez,es ESP,"DF,MF",Girona,23,2001,29,29,2458,27.3,1,5,6,1,0,0,4,0,0.04,0.18,0.22,0.04,0.22,Matches
254,Javi Hernández,es ESP,DF,Leganés,26,1998,31,27,2389,26.5,2,1,3,2,0,0,6,0,0.08,0.04,0.11,0.08,0.11,Matches
255,Aridane Hernández,es ESP,DF,Rayo Vallecano,35,1989,14,11,1025,11.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
256,Jorge Herrando,es ESP,DF,Osasuna,23,2001,18,15,1366,15.2,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
258,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
259,Yangel Herrera,ve VEN,MF,Girona,26,1998,29,27,2257,25.1,4,3,7,4,0,0,10,1,0.16,0.12,0.28,0.16,0.28,Matches
260,Juan Herzog,es ESP,DF,Las Palmas,21,2003,19,15,1315,14.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
261,Omar El Hilali,ma MAR,DF,Espanyol,20,2003,36,36,3153,35.0,0,2,2,0,0,0,11,0,0.00,0.06,0.06,0.00,0.06,Matches
263,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,11,1085,12.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
264,Pablo Ibáñez,es ESP,MF,Osasuna,25,1998,28,13,1294,14.4,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
266,Iglesias,es ESP,"DF,MF",Getafe,26,1998,37,32,2888,32.1,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches
267,Borja Iglesias,es ESP,FW,Celta Vigo,31,1993,37,24,1952,21.7,11,3,14,11,0,0,2,0,0.51,0.14,0.65,0.51,0.65,Matches
269,Isco,es ESP,MF,Real Betis,32,1992,22,17,1547,17.2,9,8,17,4,5,6,5,0,0.52,0.47,0.99,0.23,0.70,Matches
272,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
274,Mikel Jauregizar,es ESP,MF,Athletic Club,20,2003,34,25,2244,24.9,2,1,3,2,0,0,4,1,0.08,0.04,0.12,0.08,0.12,Matches
276,Jofre,es ESP,MF,Espanyol,23,2001,37,26,2165,24.1,3,3,6,3,0,0,5,0,0.12,0.12,0.25,0.12,0.25,Matches
277,Frenkie de Jong,nl NED,MF,Barcelona,27,1997,26,9,1143,12.7,2,2,4,2,0,0,3,0,0.16,0.16,0.31,0.16,0.31,Matches
278,Joan Jordán,es ESP,MF,Alavés,30,1994,25,15,1414,15.7,5,2,7,2,3,4,4,0,0.32,0.13,0.45,0.13,0.25,Matches
283,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,17,16,1458,16.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,24,2000,30,24,2253,25.0,11,8,19,9,2,3,8,1,0.44,0.32,0.76,0.36,0.68,Matches
285,Stanko Jurić,hr CRO,MF,Valladolid,27,1996,26,19,1729,19.2,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
286,Willy Kambwala,fr FRA,DF,Villarreal,19,2004,19,12,1117,12.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
289,Kiké,es ESP,FW,Alavés,34,1989,35,29,2542,28.2,13,0,13,10,3,3,5,1,0.46,0.00,0.46,0.35,0.35,Matches
290,Koke,es ESP,MF,Atlético Madrid,32,1992,32,20,1926,21.4,1,1,2,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,Matches
291,Jules Koundé,fr FRA,DF,Barcelona,25,1998,32,29,2605,28.9,2,3,5,2,0,0,4,0,0.07,0.10,0.17,0.07,0.17,Matches
292,Alex Král,cz CZE,MF,Espanyol,26,1998,37,29,2714,30.2,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches
294,Ladislav Krejčí,cz CZE,DF,Girona,25,1999,28,27,2440,27.1,2,0,2,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches
295,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,23,2001,36,27,2372,26.4,5,0,5,5,0,0,5,0,0.19,0.00,0.19,0.19,0.19,Matches
296,Marash Kumbulla,al ALB,DF,Espanyol,24,2000,35,34,2972,33.0,3,0,3,3,0,0,9,0,0.09,0.00,0.09,0.09,0.09,Matches
299,Cyle Larin,ca CAN,FW,Mallorca,29,1995,32,21,1764,19.6,7,2,9,6,1,1,4,0,0.36,0.10,0.46,0.31,0.41,Matches
