Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
286,Jérémy Le Douaron,fr FRA,"FW,MF",Brest,25,1998,18.0,4,50,21,42.0,2.78,1.17,0.08,0.19,0,0,Matches
287,Enzo Le Fée,fr FRA,MF,Rennes,23,2000,17.0,0,12,0,0.0,0.71,0.00,0.00,,0,0,Matches
288,Vincent Le Goff,fr FRA,"MF,DF",Lorient,33,1989,6.0,1,4,1,25.0,0.67,0.17,0.25,1.00,0,0,Matches
289,Adrien Lebeau,fr FRA,MF,Brest,24,1999,0.6,0,1,0,0.0,1.67,0.00,0.00,,0,0,Matches
290,Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
291,Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30.0,0,0,0,,0.00,0.00,,,0,0,Matches
292,Pierre Lees-Melou,fr FRA,MF,Brest,30,1993,28.0,4,52,13,25.0,1.86,0.46,0.08,0.31,0,0,Matches
293,Johann Lepenant,fr FRA,MF,Lyon,20,2002,2.8,0,4,2,50.0,1.42,0.71,0.00,0.00,0,0,Matches
294,Léo Leroy,fr FRA,MF,Montpellier,23,2000,5.5,0,7,1,14.3,1.26,0.18,0.00,0.00,0,0,Matches
295,Gautier Lloris,fr FRA,DF,Le Havre,28,1995,30.9,2,16,5,31.3,0.52,0.16,0.13,0.40,0,0,Matches
296,Abou Lô,sn SEN,"MF,DF",Metz,23,2000,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches
297,Bradley Locko,fr FRA,DF,Brest,21,2002,32.9,0,12,2,16.7,0.36,0.06,0.00,0.00,0,0,Matches
