Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
261,Emil Holm,se SWE,DF,Bologna,24,2000,21,12,1137,12.6,1,1,2,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
262,Mats Hummels,de GER,DF,Roma,35,1988,14,11,915,10.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
265,Jay Idzes,id IDN,DF,Venezia,24,2000,35,35,3127,34.7,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
268,Ivan Ilić,rs SRB,MF,Torino,23,2001,19,9,920,10.2,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
271,Gustav Isaksen,dk DEN,MF,Lazio,23,2001,37,29,2210,24.6,4,2,6,4,0,0,5,0,0.16,0.08,0.24,0.16,0.24,Matches
272,Ardian Ismajli,al ALB,DF,Empoli,27,1996,29,29,2508,27.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
273,Armando Izzo,it ITA,DF,Monza,32,1992,30,28,2435,27.1,1,1,2,1,0,0,12,0,0.04,0.04,0.07,0.04,0.07,Matches
276,Gaby Jean,fr FRA,DF,Lecce,24,2000,19,16,1388,15.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
277,Juan Jesus,br BRA,DF,Napoli,33,1991,15,12,1074,11.9,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
278,Álex Jiménez,es ESP,"MF,DF",Milan,19,2005,22,14,1266,14.1,0,1,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches
279,Þórir Jóhann Helgason,is ISL,MF,Lecce,23,2000,21,13,1156,12.8,0,4,4,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches
283,Christian Kabasele,be BEL,DF,Udinese,33,1991,16,12,1161,12.9,2,0,2,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
284,Pierre Kalulu,fr FRA,DF,Juventus,24,2000,29,25,2337,26.0,1,0,1,1,0,0,2,1,0.04,0.00,0.04,0.04,0.04,Matches
285,Hassane Kamara,ci CIV,"MF,DF",Udinese,30,1994,30,25,2001,22.2,1,4,5,1,0,0,8,1,0.04,0.18,0.22,0.04,0.22,Matches
286,Yann Karamoh,fr FRA,"MF,FW",Torino,26,1998,29,10,1046,11.6,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
289,Jesper Karlström,se SWE,MF,Udinese,29,1995,37,36,3186,35.4,0,3,3,0,0,0,9,0,0.00,0.08,0.08,0.00,0.08,Matches
293,Moise Kean,it ITA,FW,Fiorentina,24,2000,32,31,2704,30.0,19,3,22,18,1,2,6,0,0.63,0.10,0.73,0.60,0.70,Matches
294,Mandela Keita,be BEL,MF,Parma,22,2002,30,24,1826,20.3,0,2,2,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,Matches
295,Lloyd Kelly,eng ENG,DF,Juventus,25,1998,12,11,1013,11.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
