Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
215,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,,,,,,,,,,,,,,,,,Matches
216,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,,,,,,,,,,,,,,,,,Matches
217,Ivo Grbić,hr CRO,GK,Sheffield United,27,1996,8.6,,,,,,,,,,,,,,,,,Matches
218,Jack Grealish,eng ENG,"MF,FW",Manchester City,27,1995,11.2,,,,,,,,,,,,,,,,,Matches
219,Pascal Groß,de GER,"MF,DF",Brighton,32,1991,34.6,,,,,,,,,,,,,,,,,Matches
220,Marc Guéhi,eng ENG,DF,Crystal Palace,23,2000,22.5,,,,,,,,,,,,,,,,,Matches
221,Bruno Guimarães,br BRA,MF,Newcastle United,25,1997,36.3,,,,,,,,,,,,,,,,,Matches
222,Malo Gusto,fr FRA,"DF,MF",Chelsea,20,2003,19.5,,,,,,,,,,,,,,,,,Matches
223,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,,,,,,,,,,,,,,,,,Matches
224,Erling Haaland,no NOR,"FW,MF",Manchester City,23,2000,28.4,,,,,,,,,,,,,,,,,Matches
225,Antwoine Hackford,eng ENG,FW,Sheffield United,19,2004,0.1,,,,,,,,,,,,,,,,,Matches
226,Lewis Hall,eng ENG,DF,Newcastle United,18,2004,8.7,,,,,,,,,,,,,,,,,Matches
227,Gustavo Hamer,nl NED,MF,Sheffield United,26,1997,32.3,,,,,,,,,,,,,,,,,Matches
228,Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,,,,,,,,,,,,,,,,,Matches
229,Jack Harrison,eng ENG,MF,Everton,26,1996,24.6,,,,,,,,,,,,,,,,,Matches
230,Daiki Hashioka,jp JPN,"DF,MF",Luton Town,24,1999,6.6,,,,,,,,,,,,,,,,,Matches
231,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,29.3,,,,,,,,,,,,,,,,,Matches
232,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,,,,,,,,,,,,,,,,,Matches
233,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,23.5,,,,,,,,,,,,,,,,,Matches
