Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
328,Mateus Mane,pt POR,FW,Wolves,16,2007,0.0,,,,,,,,,,,,,,,,,,,,,Matches
329,Orel Mangala,be BEL,MF,Everton,26,1998,14.0,,,,,,,,,,,,,,,,,,,,,Matches
330,Ryan Manning,ie IRL,"DF,MF",Southampton,28,1996,16.2,,,,,,,,,,,,,,,,,,,,,Matches
331,Solly March,eng ENG,MF,Brighton,30,1994,1.9,,,,,,,,,,,,,,,,,,,,,Matches
332,Omar Marmoush,eg EGY,"MF,FW",Manchester City,25,1999,13.1,,,,,,,,,,,,,,,,,,,,,Matches
333,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23,2001,25.4,,,,,,,,,,,,,,,,,,,,,Matches
334,Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,35.5,,,,,,,,,,,,,,,,,,,,,Matches
335,Lisandro Martínez,ar ARG,DF,Manchester Utd,26,1998,19.5,,,,,,,,,,,,,,,,,,,,,Matches
336,Pape Matar Sarr,sn SEN,MF,Tottenham Hotspur,21,2002,21.3,,,,,,,,,,,,,,,,,,,,,Matches
337,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27,1997,29.4,,,,,,,,,,,,,,,,,,,,,Matches
338,Stephy Mavididi,eng ENG,MF,Leicester City,26,1998,17.9,,,,,,,,,,,,,,,,,,,,,Matches
339,Konstantinos Mavropanos,gr GRE,DF,West Ham United,26,1997,22.7,,,,,,,,,,,,,,,,,,,,,Matches
340,Noussair Mazraoui,ma MAR,"DF,MF",Manchester Utd,26,1997,31.5,,,,,,,,,,,,,,,,,,,,,Matches
341,Bryan Mbeumo,cm CMR,"MF,FW",Brentford,24,1999,37.9,,,,,,,,,,,,,,,,,,,,,Matches
342,James Mcatee,eng ENG,MF,Manchester City,21,2002,3.9,,,,,,,,,,,,,,,,,,,,,Matches
343,Kasey McAteer,ie IRL,MF,Leicester City,22,2001,9.5,,,,,,,,,,,,,,,,,,,,,Matches
344,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5.0,,,,,,,,,,,,,,,,,,,,,Matches
345,John McGinn,sct SCO,MF,Aston Villa,29,1994,24.7,,,,,,,,,,,,,,,,,,,,,Matches
346,Dwight McNeil,eng ENG,MF,Everton,24,1999,15.2,,,,,,,,,,,,,,,,,,,,,Matches
347,Scott McTominay,sct SCO,MF,Manchester Utd,27,1996,0.2,,,,,,,,,,,,,,,,,,,,,Matches
348,Ben Mee,eng ENG,DF,Brentford,34,1989,2.0,,,,,,,,,,,,,,,,,,,,,Matches
349,Jayden Meghoma,eng ENG,DF,Brentford,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
350,Mikel Merino,es ESP,"MF,FW",Arsenal,28,1996,17.6,,,,,,,,,,,,,,,,,,,,,Matches
351,Shumaira Mheuka,eng ENG,FW,Chelsea,16,2007,0.0,,,,,,,,,,,,,,,,,,,,,Matches
352,Nikola Milenković,rs SRB,DF,Nottingham Forest,26,1997,37.0,,,,,,,,,,,,,,,,,,,,,Matches
353,Lewis Miley,eng ENG,MF,Newcastle United,18,2006,3.5,,,,,,,,,,,,,,,,,,,,,Matches
354,James Milner,eng ENG,MF,Brighton,38,1986,1.9,,,,,,,,,,,,,,,,,,,,,Matches
355,Tyrone Mings,eng ENG,DF,Aston Villa,31,1993,12.4,,,,,,,,,,,,,,,,,,,,,Matches
356,Yankuba Minteh,gm GAM,MF,Brighton,20,2004,20.4,,,,,,,,,,,,,,,,,,,,,Matches
357,Tyrick Mitchell,eng ENG,MF,Crystal Palace,24,1999,34.4,,,,,,,,,,,,,,,,,,,,,Matches
358,Kaoru Mitoma,jp JPN,MF,Brighton,27,1997,28.9,,,,,,,,,,,,,,,,,,,,,Matches
359,Jakub Moder,pl POL,MF,Brighton,25,1999,0.1,,,,,,,,,,,,,,,,,,,,,Matches
360,Jeremy Monga,eng ENG,FW,Leicester City,15,2009,1.2,,,,,,,,,,,,,,,,,,,,,Matches
361,Mikey Moore,eng ENG,"MF,FW",Tottenham Hotspur,16,2007,4.1,,,,,,,,,,,,,,,,,,,,,Matches
362,Morato,br BRA,DF,Nottingham Forest,23,2001,10.1,,,,,,,,,,,,,,,,,,,,,Matches
363,Álex Moreno,es ESP,DF,Nottingham Forest,31,1993,10.6,,,,,,,,,,,,,,,,,,,,,Matches
364,Sam Morsy,eg EGY,MF,Ipswich Town,32,1991,30.6,,,,,,,,,,,,,,,,,,,,,Matches
365,Yerson Mosquera,co COL,DF,Wolves,23,2001,4.9,,,,,,,,,,,,,,,,,,,,,Matches
366,Mason Mount,eng ENG,"MF,FW",Manchester Utd,25,1999,6.9,,,,,,,,,,,,,,,,,,,,,Matches
367,Divin Mubama,eng ENG,FW,Manchester City,19,2004,0.3,,,,,,,,,,,,,,,,,,,,,Matches
368,Mykhailo Mudryk,ua UKR,MF,Chelsea,23,2001,1.7,,,,,,,,,,,,,,,,,,,,,Matches
369,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28,1996,12.0,,,,,,,,,,,,,,,,,,,,,Matches
370,Rodrigo Muniz,br BRA,FW,Fulham,23,2001,10.7,,,,,,,,,,,,,,,,,,,,,Matches
371,Daniel Muñoz,co COL,MF,Crystal Palace,28,1996,35.9,,,,,,,,,,,,,,,,,,,,,Matches
372,Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18.0,,,,,,,,,,,,,,,,,,,,,Matches
373,Murillo,br BRA,DF,Nottingham Forest,22,2002,35.4,,,,,,,,,,,,,,,,,,,,,Matches
374,Jacob Murphy,eng ENG,"FW,MF",Newcastle United,29,1995,26.2,,,,,,,,,,,,,,,,,,,,,Matches
375,Vitaliy Mykolenko,ua UKR,DF,Everton,25,1999,34.2,,,,,,,,,,,,,,,,,,,,,Matches
376,Iliman Ndiaye,sn SEN,"MF,FW",Everton,24,2000,27.0,,,,,,,,,,,,,,,,,,,,,Matches
377,Wilfred Ndidi,ng NGA,MF,Leicester City,27,1996,25.8,,,,,,,,,,,,,,,,,,,,,Matches
378,Kosta Nedeljković,rs SRB,DF,Aston Villa,18,2005,1.4,,,,,,,,,,,,,,,,,,,,,Matches
379,Reiss Nelson,eng ENG,"FW,MF",Arsenal,24,1999,0.0,,,,,,,,,,,,,,,,,,,,,Matches
380,Reiss Nelson,eng ENG,MF,Fulham,24,1999,5.4,,,,,,,,,,,,,,,,,,,,,Matches
381,Neto,br BRA,GK,Bournemouth,35,1989,2.0,,,,,,,,,,,,,,,,,,,,,Matches
382,Pedro Neto,pt POR,"MF,FW",Chelsea,24,2000,25.2,,,,,,,,,,,,,,,,,,,,,Matches
383,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,1999,11.5,,,,,,,,,,,,,,,,,,,,,Matches
384,Christopher Nkunku,fr FRA,"MF,FW",Chelsea,26,1997,10.2,,,,,,,,,,,,,,,,,,,,,Matches
385,Gustavo Nunes,br BRA,MF,Brentford,18,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
386,Matheus Nunes,pt POR,"DF,MF",Manchester City,25,1998,18.6,,,,,,,,,,,,,,,,,,,,,Matches
387,Darwin Núñez,uy URU,FW,Liverpool,25,1999,12.6,,,,,,,,,,,,,,,,,,,,,Matches
388,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17,2007,9.9,,,,,,,,,,,,,,,,,,,,,Matches
389,Christian Nørgaard,dk DEN,MF,Brentford,30,1994,31.3,,,,,,,,,,,,,,,,,,,,,Matches
