Player,Squad,Pos,Min,xG,xA,season
Valentin Rosier,Leganes,DF,2583.0,1.0204768180847168,1.1147922053933144,2024-25
Irvin Cardona,Espanyol,FW,577.0,0.8832428082823753,0.8650395907461643,2024-25
Portu,Girona,FW,728.0,1.7564097288995981,1.6340558864176273,2024-25
Johan Mojica,Mallorca,DF,2747.0,0.7688355734571815,4.50119224563241,2024-25
Juan Foyth,Villarreal,DF,1515.0,2.2625984381884336,0.3967224769294262,2024-25
Aitor Ruibal,Real Betis,FW,1287.0,1.2729885298758745,2.6539328563958406,2024-25
Óscar Rodríguez,Leganes,MF,1290.0,2.6321211019530892,2.824665365740657,2024-25
Fernando Calero,Espanyol,DF,675.0,0.5672088414430618,0.052928321063518524,2024-25
Miguel De la Fuente,Leganes,FW,1708.0,5.791498295031488,1.134644091129303,2024-25
Adrià Pedrosa,Sevilla,DF,2323.0,0.8653349922969937,1.7180400965735316,2024-25
Robin Le Normand,Atletico Madrid,DF,2140.0,1.3955917339771986,0.6797869801521301,2024-25
Ander Barrenetxea,Real Sociedad,FW,1271.0,1.9731221813708544,2.445582341402769,2024-25
Eduardo Camavinga,Real Madrid,DF,1079.0,0.891307421028614,0.9148720903322101,2024-25
Iván Martín,Girona,MF,2054.0,1.4308387525379658,1.8869791738688946,2024-25
Alejandro Catena,Osasuna,DF,3086.0,2.9847294874489307,2.5119774006307125,2024-25
Manuel Sánchez,Alaves,DF,2651.0,1.6078453846275806,1.1835778756067157,2024-25
Carl Starfelt,Celta Vigo,DF,2273.0,0.49532318860292435,0.1819723965600133,2024-25
Iker Losada,"Celta Vigo,Real Betis",FW,670.0,1.7151087075471878,0.9550862051546574,2024-25
Jorge Sáenz,Leganes,DF,1694.0,1.8186329379677773,0.1442689262330532,2024-25
Eder Militão,Real Madrid,DF,938.0,0.6963192941620946,0.499573415145278,2024-25
Domingos Duarte,Getafe,DF,1865.0,0.4832622818648815,0.042699456214904785,2024-25
Nemanja Gudelj,Sevilla,DF,2495.0,1.5126035250723362,0.6460477821528912,2024-25
Ronald Araújo,Barcelona,DF,771.0,1.166387401521206,0.4866340160369873,2024-25
Lucien Agoume,Sevilla,MF,2113.0,0.6494429102167487,2.382107900455594,2024-25
Miguel Gutiérrez,Girona,DF,2477.0,1.8718257248401642,4.057582646608353,2024-25
Loic Bade,Sevilla,DF,2682.0,0.822739202529192,0.36382800713181496,2024-25
Yvan Neyou,Leganes,MF,2344.0,0.45724739599972963,0.7096966840326786,2024-25
Renato Tapia,Leganes,DF,2442.0,0.6297735353000462,0.26615771232172847,2024-25
Luis Milla,Getafe,MF,2887.0,1.8550234846770763,4.254146805033088,2024-25
Arsen Zakharyan,Real Sociedad,MF,70.0,0.13745737075805664,0.11272140592336655,2024-25
Roberto Navarro,Mallorca,MF,1302.0,2.833723386749625,1.8819198217242956,2024-25
Marcos de Sousa,Real Valladolid,FW,1213.0,3.194758642464876,1.4116674680262804,2024-25
Omar Alderete,Getafe,DF,2999.0,2.1423439290374517,0.9147684648633003,2024-25
Ilaix Moriba,Celta Vigo,MF,2115.0,2.144344466738403,2.3155504409223795,2024-25
Jon Ander Olasagasti,Real Sociedad,MF,821.0,1.2222821153700352,1.062180433422327,2024-25
Beñat Prados,Athletic Club,MF,1736.0,0.9114043265581131,1.089272540062666,2024-25
Enric Franquesa,Leganes,DF,612.0,0.3923423383384943,0.057024482637643814,2024-25
Gavi,Barcelona,FW,1079.0,1.0601166114211082,1.6527631673961878,2024-25
Cristhian Mosquera,Valencia,DF,3322.0,0.35144824907183647,0.0,2024-25
Ilias Akhomach,Villarreal,MF,604.0,0.6073880009353161,1.253532700240612,2024-25
Bryan Zaragoza,Osasuna,FW,1887.0,3.2676440300419927,4.370135611854494,2024-25
Pablo Barrios Rivas,Atletico Madrid,MF,2347.0,1.3707369193434715,2.9307284597307444,2024-25
Stefan Bajcetic,Las Palmas,DF,986.0,0.1618144428357482,0.21842641942203045,2024-25
Pablo Ibáñez,Osasuna,MF,1286.0,1.4140569819137454,1.2139921113848686,2024-25
Jorge Herrando,Osasuna,DF,1362.0,1.7282755002379417,0.0,2024-25
Etta Eyong,Villarreal,MF,25.0,0.4321245662868023,0.0,2024-25
Enzo Barrenechea,Valencia,MF,2245.0,1.2636710880324244,0.8316491199657321,2024-25
Marc Casadó,Barcelona,MF,1640.0,0.9119365168735385,1.634875988587737,2024-25
Pablo Marín,Real Sociedad,MF,1224.0,2.1962965931743383,1.1745108868926764,2024-25
Manu Bueno,Sevilla,MF,111.0,0.11979928240180016,0.0,2024-25
Unai Gómez,Athletic Club,FW,1267.0,2.785275062546134,1.0150505416095257,2024-25
Sergi Cardona,Villarreal,DF,2974.0,3.418096289038658,6.034026274457574,2024-25
Carlos Benavídez,Alaves,MF,456.0,0.20424118265509605,0.6427380479872227,2024-25
Natan,Real Betis,DF,2163.0,0.49483747547492385,1.2719630086794496,2024-25
Walid Cheddira,Espanyol,FW,587.0,1.417538370937109,1.0388413574546576,2024-25
Bertug Yildirim,Getafe,FW,1101.0,2.605826680548489,1.1420183782465756,2024-25
Jhon Solis,Girona,MF,491.0,0.6953313462436199,0.05165662057697773,2024-25
Assane Diao,Real Betis,FW,259.0,1.158294815570116,1.7619872577488422,2024-25
Alejo Véliz,Espanyol,FW,1115.0,2.3388653844594955,0.06921707699075341,2024-25
Jon Aramburu,Real Sociedad,DF,2466.0,0.45412842743098736,0.9028189368546009,2024-25
Tajon Buchanan,Villarreal,MF,403.0,0.9770353380590677,0.770006813108921,2024-25
Stanis Idumbo Muzambo,Sevilla,MF,255.0,0.3827561968937516,0.6035402454435825,2024-25
Jacobo Ramón,Real Madrid,DF,201.0,0.4884187579154968,0.07003195583820343,2024-25
Tomás Conechny,Alaves,FW,837.0,3.4765042532235384,0.3463271465152502,2024-25
Gabriel Misehouy,Girona,FW,235.0,0.7535906955599785,0.18367770873010159,2024-25
Peque,Sevilla,FW,1144.0,1.9474023068323731,1.3418455142527819,2024-25
Gerard Martín,Barcelona,DF,1018.0,0.6436223732307553,1.2958451379090548,2024-25
Luka Sucic,Real Sociedad,FW,1804.0,3.661727663129568,3.427332490682602,2024-25
Endrick,Real Madrid,FW,324.0,2.928210226818919,0.664036899805069,2024-25
Álvaro Djaló,Athletic Club,FW,637.0,0.9031668566167355,1.0898361578583717,2024-25
Pau Cabanes De La Torre,"Alaves,Villarreal",MF,311.0,0.6065235398709774,0.6184967579320073,2024-25
Coba da Costa,Getafe,MF,1003.0,1.4314221981912851,1.62605188973248,2024-25
Dário Essugo,Las Palmas,MF,1985.0,0.6471306988969445,0.4316724920645356,2024-25
Ramón Martínez,Sevilla,DF,252.0,0.5181827507913113,0.06748511642217636,2024-25
García Pascual,Sevilla,FW,372.0,0.9836342222988605,0.028737172484397888,2024-25
Maroan Sannadi,Athletic Club,FW,743.0,3.2526460140943527,1.2053465899080038,2024-25
Florian Grillitsch,Real Valladolid,MF,627.0,0.2258069235831499,0.646667268127203,2024-25
Andreas Christensen,Barcelona,DF,239.0,0.0332164540886879,0.040220171213150024,2024-25
Ørjan Nyland,Sevilla,GK,2676.0,0.0,0.36371440812945366,2024-25
Ricardo Rodríguez,Real Betis,DF,1282.0,0.23641094379127026,0.3478721398860216,2024-25
David Alaba,Real Madrid,DF,312.0,0.0,0.05400341376662254,2024-25
Juan Bernat,"Getafe,Villarreal",DF,892.0,0.6867508264258504,1.0954946149140596,2024-25
Héctor Bellerín,Real Betis,DF,569.0,0.11067985743284225,1.8224006593227386,2024-25
Adrián,Real Betis,GK,1710.0,0.0,0.0,2024-25
Daley Blind,Girona,DF,2774.0,0.4222466517239809,2.2111893985420465,2024-25
Ander Herrera,Athletic Club,MF,254.0,1.9449006617069244,0.10741335712373257,2024-25
Kelechi Iheanacho,Sevilla,FW,401.0,1.0177823081612587,0.21381378918886185,2024-25
Thibaut Courtois,Real Madrid,GK,2700.0,0.0,0.17204314470291138,2024-25
Kenedy,Real Valladolid,MF,2.0,0.08182850480079651,0.0,2024-25
Oriol Romeu,Girona,MF,1357.0,0.202604528516531,0.550816060975194,2024-25
Juanmi,"Getafe,Real Betis",FW,914.0,3.68753713183105,0.8351753782480955,2024-25
Paulo Gazzaniga,Girona,GK,3198.0,0.0,0.0,2024-25
Pablo Maffeo,Mallorca,DF,2385.0,0.34491522144526243,4.4014428816735744,2024-25
Sergi Canos,Valencia,MF,326.0,0.45077959541231394,0.1964062564074993,2024-25
Lucas Ocampos,Sevilla,FW,180.0,0.15823915600776672,0.31620002165436745,2024-25
Suso,Sevilla,FW,572.0,0.632983285933733,2.1810974460095167,2024-25
Wojciech Szczesny,Barcelona,GK,1350.0,0.0,0.0,2024-25
Raúl Albiol,Villarreal,DF,1186.0,0.11344916746020317,0.0,2024-25
Javier Manquillo,Celta Vigo,DF,533.0,0.0,0.0,2024-25
Eric Bailly,Villarreal,DF,632.0,0.24016376584768295,0.0,2024-25
Antonio Rüdiger,Real Madrid,DF,2291.0,1.8135617095977068,0.5648185275495052,2024-25
Marc-André ter Stegen,Barcelona,GK,677.0,0.0,0.0,2024-25
Pau López,Girona,MF,42.0,0.0,0.0,2024-25
Vicente Guaita,Celta Vigo,GK,3060.0,0.0,0.0,2024-25
Moi Gómez,Osasuna,FW,730.0,0.3465937990695238,0.8948066756129265,2024-25
Aritz Elustondo,Real Sociedad,DF,1452.0,0.5125560872256756,0.21774104237556458,2024-25
Yuri,Athletic Club,DF,2027.0,0.5942616164684296,1.9303123988211155,2024-25
James Rodríguez,Rayo Vallecano,MF,127.0,0.22707308642566204,0.10268764942884445,2024-25
