Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
135,Mohamed Daramy,dk DEN,"FW,MF",Reims,21,2002,18.3,,,,,,,,,,,,,,,5,,,,,,Matches
136,Achraf Dari,ma MAR,DF,Brest,24,1999,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
137,Jonathan David,ca CAN,FW,Lille,23,2000,29.2,,,,,,,,,,,,,,,4,,,,,,Matches
138,Thibault De Smet,be BEL,"DF,MF",Reims,25,1998,20.3,,,,,,,,,,,,,,,0,,,,,,Matches
139,Romain Del Castillo,fr FRA,"MF,FW",Brest,27,1996,27.7,,,,,,,,,,,,,,,8,,,,,,Matches
140,Thomas Delaine,fr FRA,"MF,DF",Strasbourg,31,1992,22.7,,,,,,,,,,,,,,,1,,,,,,Matches
141,Sacha Delaye,fr FRA,MF,Montpellier,21,2002,1.4,,,,,,,,,,,,,,,0,,,,,,Matches
142,Karamoko Dembélé,eng ENG,"FW,MF",Brest,20,2003,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
143,Ousmane Dembélé,fr FRA,"FW,MF",Paris Saint-Germain,26,1997,16.7,,,,,,,,,,,,,,,8,,,,,,Matches
144,Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,25,1998,7.7,,,,,,,,,,,,,,,0,,,,,,Matches
145,Rémy Descamps,fr FRA,GK,Nantes,27,1996,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
146,Mikkel Desler,dk DEN,"DF,MF",Toulouse,28,1995,17.2,,,,,,,,,,,,,,,1,,,,,,Matches
147,Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
148,Lamine Diack,sn SEN,MF,Nantes,22,2000,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
149,Mamadou Diakhon,fr FRA,FW,Reims,17,2005,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
150,Bafodé Diakité,fr FRA,DF,Lille,22,2001,18.8,,,,,,,,,,,,,,,2,,,,,,Matches
151,Ibrahim Diakité,gn GUI,DF,Reims,19,2003,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
152,Oumar Diakité,ci CIV,FW,Reims,19,2003,17.6,,,,,,,,,,,,,,,1,,,,,,Matches
153,Habib Diarra,sn SEN,"MF,FW",Strasbourg,19,2004,25.6,,,,,,,,,,,,,,,1,,,,,,Matches
154,Moussa Diarra,ml MLI,DF,Toulouse,22,2000,15.5,,,,,,,,,,,,,,,2,,,,,,Matches
155,Krépin Diatta,sn SEN,"MF,DF",Monaco,24,1999,13.4,,,,,,,,,,,,,,,2,,,,,,Matches
156,Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30.0,,,,,,,,,,,,,,,0,,,,,,Matches
157,Mahamadou Diawara,fr FRA,MF,Lyon,18,2005,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
158,Bamba Dieng,sn SEN,FW,Lorient,23,2000,6.1,,,,,,,,,,,,,,,1,,,,,,Matches
159,Guillaume Dietsch,fr FRA,GK,Metz,22,2001,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
160,Sinaly Diomande,ci CIV,DF,Lyon,22,2001,9.9,,,,,,,,,,,,,,,0,,,,,,Matches
161,Edan Diop,fr FRA,MF,Monaco,18,2004,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
162,Sofiane Diop,ma MAR,"FW,MF",Nice,23,2000,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
163,Andy Diouf,fr FRA,MF,Lens,20,2003,14.6,,,,,,,,,,,,,,,0,,,,,,Matches
164,Yehvann Diouf,sn SEN,GK,Reims,23,1999,34.0,,,,,,,,,,,,,,,0,,,,,,Matches
165,Chaim El Djebali,tn TUN,MF,Lyon,19,2004,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
166,Jeremy Doku,be BEL,FW,Rennes,21,2002,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
167,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,24,1999,24.1,,,,,,,,,,,,,,,0,,,,,,Matches
168,Siriné Doucouré,ml MLI,FW,Lorient,21,2002,4.7,,,,,,,,,,,,,,,3,,,,,,Matches
169,Désiré Doué,fr FRA,MF,Rennes,18,2005,18.1,,,,,,,,,,,,,,,4,,,,,,Matches
170,Guela Doué,ci CIV,DF,Rennes,20,2002,13.7,,,,,,,,,,,,,,,2,,,,,,Matches
